             590           0           3.252
             550           0           3.329
             680           1           3.319
             520           0           3.133
             560           0           2.986
             540           0           3.505
             500           1           2.648
             600           1           3.090
             440           0           3.205
             680           0           3.876
             520           0           3.376
             610           0           3.667
             490           0           3.195
             620           0           2.957
             580           0           3.114
             600           0           2.968
             420           1           2.533
             590           0           3.324
             570           0           3.681
             640           0           3.757
             540           0           3.481
             530           0           3.457
             660           0           3.890
             540           0           3.586
             570           0           3.433
             710           0           3.613
             450           0           2.733
             480           1           2.755
             650           0           2.643
             580           0           3.535
             630           1           3.256
             590           0           3.557
             550           1           2.985
             590           1           3.100
             610           1           3.238
             490           0           3.235
             600           0           3.633
             570           0           3.225
             580           0           3.225
             520           0           3.376
             610           0           3.379
             620           0           3.393
             530           0           3.224
             670           0           3.776
             550           0           3.367
             530           0           3.148
             500           1           3.267
             570           0           3.905
             570           0           2.829
             640           1           3.338
             600           0           3.329
             550           0           3.381
             720           0           3.376
             570           1           3.005
             570           0           2.819
             610           1           3.362
             530           0           2.976
             720           0           3.720
             580           0           3.409
             610           0           2.835
             470           0           3.905

