   1982      2    551    205   47767.0   21340.0
   1982      4    594    312   44437.0   28533.0
   1982      8    338    115   55662.0   13214.0
   1984      1   1357    764   58327.0   38883.0
   1984      3    716    144   78270.0    6473.0
   1984      5   1207   1436   54812.0   55829.0
   1984      7    929    258   77136.0   13730.0
   1986      2    609    316   39034.0   23363.0
   1986      4    666    306   52817.0   16541.0
   1986      8    477    171   48315.0   11605.0
   1988      1   1101    700   56362.0   34514.0
   1988      3    448     70   69801.0    3939.0
   1988      5    781   1610   43527.0   56721.0
   1988      7    644    250   68702.0   12602.0
   1990      2    660    509   27543.0   26843.0
   1990      4    482    831   39193.0   27664.0
   1990      8    308    148   34598.0    8551.0
   1992      1   1923    594   65943.0   21518.0
   1992      3    695    327   58480.0   12968.0
   1992      5    841   1275   41267.0   46967.0
   1992      7    814    423   65516.0   14310.0
   1993      2   1396    371   19127.0   19691.0
