         0.5730   0.1059   0.4650   0.5380   0.8410   0.5340
         0.6510   0.1356   0.5270   0.5450   0.8870   0.5350
         0.6060   0.1273   0.4940   0.5210   0.9200   0.5700
         0.4370   0.1591   0.4460   0.4230   0.9920   0.4500
         0.5470   0.1135   0.5310   0.5190   0.9150   0.5480
         0.4440   0.1628   0.4290   0.4110   0.9840   0.4310
         0.4890   0.1231   0.5620   0.4550   0.8240   0.4810
         0.4130   0.1673   0.4180   0.4300   0.9780   0.4230
         0.5360   0.1182   0.5920   0.4640   0.8540   0.4750
         0.6850   0.1564   0.6310   0.5640   0.9140   0.4860
         0.6640   0.1588   0.5060   0.4810   0.8670   0.5540
         0.7030   0.1335   0.5190   0.4840   0.8120   0.5190
         0.6530   0.1395   0.6250   0.5190   0.8920   0.4920
         0.5860   0.1114   0.5050   0.5650   0.8890   0.5170
         0.5340   0.1143   0.5210   0.5700   0.8890   0.5020
         0.5230   0.1320   0.5050   0.6120   0.9190   0.5080
         0.5800   0.1249   0.5460   0.6080   0.9540   0.5200
         0.4480   0.1028   0.5220   0.5340   0.9180   0.5060
         0.4170   0.1687   0.4050   0.4150   0.9810   0.4010
         0.5280   0.1057   0.4240   0.5660   0.9090   0.5680

